instance_name,timeout,gate_out,depth_out,num_swaps,beta,gamma,delta,order,seed
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,1
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,3
decod24-v3_45,10,177,91,27,5,10,0.5,0;2;4;1;3,4
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,2
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,5
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,6
decod24-v3_45,10,177,91,27,5,10,0.5,0;2;4;1;3,7
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,8
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,9
decod24-v3_45,10,177,91,27,5,10,0.5,0;2;4;1;3,10
decod24-v3_45,10,181,90,31,5,10,0.5,2;4;3;0;1,2
decod24-v3_45,10,174,90,24,5,10,0.5,2;4;3;0;1,3
decod24-v3_45,10,179,90,29,5,10,0.5,2;4;3;0;1,4
decod24-v3_45,10,181,90,31,5,10,0.5,2;4;3;0;1,5
decod24-v3_45,10,176,90,26,5,10,0.5,2;4;3;0;1,6
decod24-v3_45,10,174,90,24,5,10,0.5,2;4;3;0;1,1
decod24-v3_45,10,174,90,24,5,10,0.5,2;4;3;0;1,7
decod24-v3_45,10,176,90,26,5,10,0.5,2;4;3;0;1,9
decod24-v3_45,10,174,90,24,5,10,0.5,2;4;3;0;1,10
decod24-v3_45,10,174,90,24,5,10,0.5,2;4;3;0;1,8
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,1
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,4
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,2
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,3
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,6
decod24-v3_45,10,177,90,27,5,10,0.5,3;2;4;1;0,7
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,5
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,8
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,9
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,10
decod24-v3_45,10,176,89,26,5,10,0.5,4;2;1;0;3,1
decod24-v3_45,10,176,89,26,5,10,0.5,4;2;1;0;3,3
decod24-v3_45,10,175,89,25,5,10,0.5,4;2;1;0;3,4
decod24-v3_45,10,175,89,25,5,10,0.5,4;2;1;0;3,2
decod24-v3_45,10,176,89,26,5,10,0.5,4;2;1;0;3,6
decod24-v3_45,10,175,89,25,5,10,0.5,4;2;1;0;3,8
decod24-v3_45,10,175,89,25,5,10,0.5,4;2;1;0;3,10
decod24-v3_45,10,176,89,26,5,10,0.5,4;2;1;0;3,9
decod24-v3_45,10,176,89,26,5,10,0.5,4;2;1;0;3,5
decod24-v3_45,10,175,89,25,5,10,0.5,4;2;1;0;3,7
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,2
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,1
decod24-v3_45,10,178,89,28,5,10,0.5,1;3;0;2;4,3
decod24-v3_45,10,178,89,28,5,10,0.5,1;3;0;2;4,4
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,5
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,6
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,9
decod24-v3_45,10,178,89,28,5,10,0.5,1;3;0;2;4,8
decod24-v3_45,10,178,89,28,5,10,0.5,1;3;0;2;4,7
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,10
decod24-v3_45,10,179,90,29,5,10,0.5,0;4;1;3;2,1
decod24-v3_45,10,178,90,28,5,10,0.5,0;4;1;3;2,2
decod24-v3_45,10,178,90,28,5,10,0.5,0;4;1;3;2,4
decod24-v3_45,10,179,90,29,5,10,0.5,0;4;1;3;2,6
decod24-v3_45,10,179,90,29,5,10,0.5,0;4;1;3;2,5
decod24-v3_45,10,179,90,29,5,10,0.5,0;4;1;3;2,3
decod24-v3_45,10,179,90,29,5,10,0.5,0;4;1;3;2,7
decod24-v3_45,10,178,90,28,5,10,0.5,0;4;1;3;2,9
decod24-v3_45,10,178,90,28,5,10,0.5,0;4;1;3;2,8
decod24-v3_45,10,178,90,28,5,10,0.5,0;4;1;3;2,10
decod24-v3_45,10,178,93,28,5,10,0.5,3;2;0;4;1,1
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,2
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,4
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,5
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,6
decod24-v3_45,10,178,93,28,5,10,0.5,3;2;0;4;1,8
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,3
decod24-v3_45,10,178,93,28,5,10,0.5,3;2;0;4;1,7
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,10
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,9
decod24-v3_45,10,179,93,29,5,10,0.5,1;0;3;4;2,2
decod24-v3_45,10,179,93,29,5,10,0.5,1;0;3;4;2,1
decod24-v3_45,10,181,93,31,5,10,0.5,1;0;3;4;2,4
decod24-v3_45,10,186,93,36,5,10,0.5,1;0;3;4;2,5
decod24-v3_45,10,181,93,31,5,10,0.5,1;0;3;4;2,3
decod24-v3_45,10,186,93,36,5,10,0.5,1;0;3;4;2,6
decod24-v3_45,10,186,93,36,5,10,0.5,1;0;3;4;2,7
decod24-v3_45,10,186,93,36,5,10,0.5,1;0;3;4;2,8
decod24-v3_45,10,179,93,29,5,10,0.5,1;0;3;4;2,9
decod24-v3_45,10,186,93,36,5,10,0.5,1;0;3;4;2,10
decod24-v3_45,10,177,90,27,5,10,0.5,0;3;2;1;4,1
decod24-v3_45,10,177,90,27,5,10,0.5,0;3;2;1;4,2
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,4
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,3
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,5
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,6
decod24-v3_45,10,177,90,27,5,10,0.5,0;3;2;1;4,7
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,9
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,8
decod24-v3_45,10,177,90,27,5,10,0.5,0;3;2;1;4,10
decod24-v3_45,10,181,93,31,5,10,0.5,2;3;0;4;1,2
decod24-v3_45,10,181,93,31,5,10,0.5,2;3;0;4;1,1
decod24-v3_45,10,181,93,31,5,10,0.5,2;3;0;4;1,4
decod24-v3_45,10,179,93,29,5,10,0.5,2;3;0;4;1,3
decod24-v3_45,10,179,93,29,5,10,0.5,2;3;0;4;1,5
decod24-v3_45,10,181,93,31,5,10,0.5,2;3;0;4;1,7
decod24-v3_45,10,179,93,29,5,10,0.5,2;3;0;4;1,6
decod24-v3_45,10,179,93,29,5,10,0.5,2;3;0;4;1,9
decod24-v3_45,10,179,93,29,5,10,0.5,2;3;0;4;1,8
decod24-v3_45,10,181,93,31,5,10,0.5,2;3;0;4;1,10
rd53_130,10,1219,638,176,5,10,0.5,6;2;3;4;0;1;5,2
rd53_130,10,1246,643,203,5,10,0.5,6;2;3;4;0;1;5,1
rd53_130,10,1210,641,167,5,10,0.5,6;2;3;4;0;1;5,3
rd53_130,10,1214,641,171,5,10,0.5,6;2;3;4;0;1;5,4
rd53_130,10,1275,644,232,5,10,0.5,6;2;3;4;0;1;5,8
rd53_130,10,1232,642,189,5,10,0.5,6;2;3;4;0;1;5,5
rd53_130,10,1219,635,176,5,10,0.5,6;2;3;4;0;1;5,6
rd53_130,10,1180,636,137,5,10,0.5,6;2;3;4;0;1;5,7
rd53_130,10,1231,639,188,5,10,0.5,6;2;3;4;0;1;5,9
rd53_130,10,1185,628,142,5,10,0.5,6;2;3;4;0;1;5,10
rd53_130,10,1259,642,216,5,10,0.5,5;2;3;1;6;4;0,1
rd53_130,10,1165,631,122,5,10,0.5,5;2;3;1;6;4;0,2
rd53_130,10,1196,638,153,5,10,0.5,5;2;3;1;6;4;0,3
rd53_130,10,1207,638,164,5,10,0.5,5;2;3;1;6;4;0,4
rd53_130,10,1217,637,174,5,10,0.5,5;2;3;1;6;4;0,5
rd53_130,10,1157,631,114,5,10,0.5,5;2;3;1;6;4;0,7
rd53_130,10,1238,641,195,5,10,0.5,5;2;3;1;6;4;0,6
rd53_130,10,1193,634,150,5,10,0.5,5;2;3;1;6;4;0,8
rd53_130,10,1195,635,152,5,10,0.5,5;2;3;1;6;4;0,9
rd53_130,10,1203,641,160,5,10,0.5,5;2;3;1;6;4;0,10
rd53_130,10,1235,633,192,5,10,0.5,3;5;2;6;0;1;4,1
rd53_130,10,1197,633,154,5,10,0.5,3;5;2;6;0;1;4,4
rd53_130,10,1252,637,209,5,10,0.5,3;5;2;6;0;1;4,2
rd53_130,10,1251,638,208,5,10,0.5,3;5;2;6;0;1;4,3
rd53_130,10,1204,633,161,5,10,0.5,3;5;2;6;0;1;4,5
rd53_130,10,1228,635,185,5,10,0.5,3;5;2;6;0;1;4,6
rd53_130,10,1216,631,173,5,10,0.5,3;5;2;6;0;1;4,7
rd53_130,10,1194,635,151,5,10,0.5,3;5;2;6;0;1;4,8
rd53_130,10,1183,642,140,5,10,0.5,3;5;2;6;0;1;4,10
rd53_130,10,1217,634,174,5,10,0.5,3;5;2;6;0;1;4,9
rd53_130,10,1224,637,181,5,10,0.5,6;2;1;0;5;3;4,1
rd53_130,10,1249,634,206,5,10,0.5,6;2;1;0;5;3;4,4
rd53_130,10,1239,634,196,5,10,0.5,6;2;1;0;5;3;4,2
rd53_130,10,1197,637,154,5,10,0.5,6;2;1;0;5;3;4,6
rd53_130,10,1230,639,187,5,10,0.5,6;2;1;0;5;3;4,5
rd53_130,10,1213,635,170,5,10,0.5,6;2;1;0;5;3;4,8
rd53_130,10,1216,639,173,5,10,0.5,6;2;1;0;5;3;4,7
rd53_130,10,1206,634,163,5,10,0.5,6;2;1;0;5;3;4,10
rd53_130,10,1215,625,172,5,10,0.5,6;2;1;0;5;3;4,3
rd53_130,10,1196,628,153,5,10,0.5,6;2;1;0;5;3;4,9
rd53_130,10,1178,626,135,5,10,0.5,4;5;0;6;1;2;3,3
rd53_130,10,1203,638,160,5,10,0.5,4;5;0;6;1;2;3,1
rd53_130,10,1240,638,197,5,10,0.5,4;5;0;6;1;2;3,4
rd53_130,10,1191,630,148,5,10,0.5,4;5;0;6;1;2;3,6
rd53_130,10,1232,637,189,5,10,0.5,4;5;0;6;1;2;3,5
rd53_130,10,1241,637,198,5,10,0.5,4;5;0;6;1;2;3,2
rd53_130,10,1216,629,173,5,10,0.5,4;5;0;6;1;2;3,7
rd53_130,10,1200,634,157,5,10,0.5,4;5;0;6;1;2;3,9
rd53_130,10,1257,638,214,5,10,0.5,4;5;0;6;1;2;3,8
rd53_130,10,1218,630,175,5,10,0.5,4;5;0;6;1;2;3,10
rd53_130,10,1219,633,176,5,10,0.5,0;6;2;4;3;1;5,1
rd53_130,10,1220,632,177,5,10,0.5,0;6;2;4;3;1;5,3
rd53_130,10,1160,629,117,5,10,0.5,0;6;2;4;3;1;5,2
rd53_130,10,1215,637,172,5,10,0.5,0;6;2;4;3;1;5,5
rd53_130,10,1189,632,146,5,10,0.5,0;6;2;4;3;1;5,7
rd53_130,10,1225,627,182,5,10,0.5,0;6;2;4;3;1;5,6
rd53_130,10,1228,631,185,5,10,0.5,0;6;2;4;3;1;5,4
rd53_130,10,1223,635,180,5,10,0.5,0;6;2;4;3;1;5,9
rd53_130,10,1175,626,132,5,10,0.5,0;6;2;4;3;1;5,8
rd53_130,10,1164,622,121,5,10,0.5,0;6;2;4;3;1;5,10
rd53_130,10,1210,645,167,5,10,0.5,1;2;5;3;0;4;6,2
rd53_130,10,1235,638,192,5,10,0.5,1;2;5;3;0;4;6,4
rd53_130,10,1231,638,188,5,10,0.5,1;2;5;3;0;4;6,1
rd53_130,10,1147,628,104,5,10,0.5,1;2;5;3;0;4;6,3
rd53_130,10,1205,630,162,5,10,0.5,1;2;5;3;0;4;6,5
rd53_130,10,1191,632,148,5,10,0.5,1;2;5;3;0;4;6,6
rd53_130,10,1183,637,140,5,10,0.5,1;2;5;3;0;4;6,7
rd53_130,10,1199,643,156,5,10,0.5,1;2;5;3;0;4;6,10
rd53_130,10,1186,633,143,5,10,0.5,1;2;5;3;0;4;6,9
rd53_130,10,1167,637,124,5,10,0.5,1;2;5;3;0;4;6,8
rd53_130,10,1236,634,193,5,10,0.5,6;1;3;5;4;2;0,2
rd53_130,10,1187,631,144,5,10,0.5,6;1;3;5;4;2;0,5
rd53_130,10,1222,629,179,5,10,0.5,6;1;3;5;4;2;0,6
rd53_130,10,1231,636,188,5,10,0.5,6;1;3;5;4;2;0,1
rd53_130,10,1205,634,162,5,10,0.5,6;1;3;5;4;2;0,4
rd53_130,10,1186,634,143,5,10,0.5,6;1;3;5;4;2;0,3
rd53_130,10,1195,636,152,5,10,0.5,6;1;3;5;4;2;0,7
rd53_130,10,1195,631,152,5,10,0.5,6;1;3;5;4;2;0,8
rd53_130,10,1243,638,200,5,10,0.5,6;1;3;5;4;2;0,10
rd53_130,10,1223,633,180,5,10,0.5,6;1;3;5;4;2;0,9
rd53_130,10,1177,630,134,5,10,0.5,6;0;1;4;5;3;2,2
rd53_130,10,1235,631,192,5,10,0.5,6;0;1;4;5;3;2,4
rd53_130,10,1241,640,198,5,10,0.5,6;0;1;4;5;3;2,6
rd53_130,10,1243,630,200,5,10,0.5,6;0;1;4;5;3;2,1
rd53_130,10,1179,629,136,5,10,0.5,6;0;1;4;5;3;2,3
rd53_130,10,1192,637,149,5,10,0.5,6;0;1;4;5;3;2,8
rd53_130,10,1202,634,159,5,10,0.5,6;0;1;4;5;3;2,5
rd53_130,10,1209,632,166,5,10,0.5,6;0;1;4;5;3;2,10
rd53_130,10,1207,631,164,5,10,0.5,6;0;1;4;5;3;2,7
rd53_130,10,1221,637,178,5,10,0.5,6;0;1;4;5;3;2,9
rd53_130,10,1239,639,196,5,10,0.5,3;1;2;5;4;6;0,3
rd53_130,10,1196,619,153,5,10,0.5,3;1;2;5;4;6;0,2
rd53_130,10,1197,634,154,5,10,0.5,3;1;2;5;4;6;0,1
rd53_130,10,1180,626,137,5,10,0.5,3;1;2;5;4;6;0,6
rd53_130,10,1200,636,157,5,10,0.5,3;1;2;5;4;6;0,5
rd53_130,10,1225,635,182,5,10,0.5,3;1;2;5;4;6;0,4
rd53_130,10,1174,628,131,5,10,0.5,3;1;2;5;4;6;0,7
rd53_130,10,1228,637,185,5,10,0.5,3;1;2;5;4;6;0,8
rd53_130,10,1228,634,185,5,10,0.5,3;1;2;5;4;6;0,10
rd53_130,10,1190,635,147,5,10,0.5,3;1;2;5;4;6;0,9
rd53_130,10,1194,630,151,5,10,0.5,5;0;2;4;3;1;6,1
