,index,qasm,timeout,depth,num_swaps,beta,gamma,seed,sabre_depth,size,gap
0,71,graycode6_47,10,5,3,3.26168,1.71963,3,5,5,0.0
1,2,xor5_254,10,6,6,1.40798,1.1747,3,7,7,0.14285714285714285
2,20,ex1_226,10,6,6,2.7055,1.19729,3,7,7,0.14285714285714285
3,47,4gt11_84,10,13,4,3.61398,3.75781,3,15,18,0.13333333333333333
4,97,ex-1_166,10,15,4,4.46968,4.12696,3,16,19,0.0625
5,38,4mod5-v0_20,10,14,5,2.89211,4.00393,3,13,20,-0.07692307692307693
6,57,ham3_102,10,16,4,1.04758,2.70628,3,18,20,0.1111111111111111
7,104,4mod5-v1_22,10,16,5,0.734321,12.3436,3,15,21,-0.06666666666666667
8,79,mod5d1_63,10,16,7,2.5766,0.644133,3,16,22,0.0
9,60,4gt11_83,10,16,5,2.59544,0.0404269,3,16,23,0.0
10,124,4gt11_82,10,21,10,3.37707,4.95284,3,22,27,0.045454545454545456
11,137,rd32-v0_66,10,25,9,4.01262,3.68646,3,29,34,0.13793103448275862
12,50,mod5mils_65,10,24,9,1.48611,2.39609,3,24,35,0.0
13,94,4mod5-v0_19,10,25,10,2.58148,11.1894,3,24,35,-0.041666666666666664
14,72,3_17_13,10,27,8,1.96233,4.03369,3,32,36,0.15625
15,84,rd32-v1_68,10,26,10,3.27458,2.90624,3,30,36,0.13333333333333333
16,68,4mod5-v1_24,10,24,7,3.04628,1.37354,3,23,36,-0.043478260869565216
17,102,alu-v0_27,10,24,14,1.10977,1.0028,3,29,36,0.1724137931034483
18,117,alu-v2_33,10,25,12,5.58348,0.445434,3,29,37,0.13793103448275862
19,100,alu-v4_37,10,25,10,4.09497,0.683663,3,30,37,0.16666666666666666
20,138,alu-v3_35,10,23,7,2.91407,1.20432,3,23,37,0.0
21,145,alu-v1_29,10,24,13,2.57085,0.365335,3,29,37,0.1724137931034483
22,89,alu-v1_28,10,26,8,6.28835,8.91616,3,26,37,0.0
23,158,miller_11,10,37,10,3.62804,1.62329,3,43,50,0.13953488372093023
24,46,decod24-v0_38,10,38,14,4.82924,0.431253,3,43,51,0.11627906976744186
25,85,alu-v3_34,10,36,14,9.30209,8.81777,3,33,52,-0.09090909090909091
26,147,decod24-v2_43,10,38,14,1.86499,3.42469,3,45,52,0.15555555555555556
27,134,mod5d2_64,10,36,12,1.85141,1.33755,3,38,53,0.05263157894736842
28,11,4gt13_92,10,45,17,1.99472,3.67407,3,47,66,0.0425531914893617
29,40,4gt13-v1_93,10,44,16,2.56702,4.88656,3,47,68,0.06382978723404255
30,107,4mod5-v1_23,10,47,18,2.19757,1.04038,3,48,69,0.020833333333333332
31,122,4mod5-v0_18,10,45,15,0.589506,1.00155,3,48,69,0.0625
32,7,one-two-three-v2_100,10,43,16,3.06386,6.74862,3,49,69,0.12244897959183673
33,159,one-two-three-v3_101,10,46,19,6.40348,2.75567,3,47,70,0.02127659574468085
34,90,4mod5-bdd_287,10,42,12,0.212896,1.29307,3,46,70,0.08695652173913043
35,6,qe_qft_4,10,38,7,2.60751,2.5535,3,39,71,0.02564102564102564
36,15,decod24-bdd_294,10,45,10,1.23377,3.34289,3,50,73,0.1
37,93,4gt5_75,10,50,18,6.38707,6.97169,3,56,83,0.10714285714285714
38,110,alu-bdd_288,10,51,10,1.41451,1.27852,3,53,84,0.03773584905660377
39,14,rd32_270,10,55,22,0.413723,1.04907,3,60,84,0.08333333333333333
40,74,alu-v0_26,10,56,26,2.44401,2.70423,3,64,84,0.125
41,136,decod24-v1_41,10,56,17,7.69614,4.361,3,59,85,0.05084745762711865
42,56,4gt5_76,10,60,19,0.756269,5.81648,3,68,91,0.11764705882352941
43,148,4gt13_91,10,66,19,3.60569,1.21767,3,69,103,0.043478260869565216
44,33,qe_qft_5,10,52,3,2.40176,0.122354,3,53,107,0.018867924528301886
45,8,4gt13_90,10,69,21,2.79464,3.22285,3,77,107,0.1038961038961039
46,92,alu-v4_36,10,77,24,0.0262283,0.962791,3,80,115,0.0375
47,141,4gt5_77,10,79,25,3.08598,2.60703,3,85,131,0.07058823529411765
48,39,one-two-three-v1_99,10,84,27,5.53531,1.61558,3,97,132,0.13402061855670103
49,13,rd53_138,10,62,21,1.37517,4.84369,3,66,132,0.06060606060606061
50,149,one-two-three-v0_98,10,90,21,2.57089,2.20915,3,97,146,0.07216494845360824
51,140,4gt10-v1_81,10,96,33,0.934502,5.34138,3,104,148,0.07692307692307693
52,135,decod24-v3_45,10,93,33,7.02694,4.58763,3,103,150,0.0970873786407767
53,131,aj-e11_165,10,96,39,1.25272,2.5649,3,109,151,0.11926605504587157
54,118,4mod7-v0_94,10,104,36,1.13307,3.63749,3,106,162,0.018867924528301886
55,77,alu-v2_32,10,101,35,1.88409,6.35445,3,113,163,0.10619469026548672
56,108,4mod7-v1_96,10,104,37,2.66803,2.95248,3,111,164,0.06306306306306306
57,144,mini_alu_305,10,73,25,22.8983,28.4404,3,86,173,0.1511627906976744
58,126,cnt3-5_179,10,68,44,5.09282,12.8093,3,75,175,0.09333333333333334
59,111,mod10_176,10,111,40,4.09478,3.03682,3,130,178,0.14615384615384616
60,35,4gt4-v0_80,10,106,30,3.96941,0.430746,3,113,179,0.061946902654867256
61,43,4gt12-v0_88,10,115,35,1.86089,2.18529,3,129,194,0.10852713178294573
62,5,qft_10,10,79,49,1.78796,0.115184,3,90,200,0.12222222222222222
63,129,0410184_169,10,111,37,2.51051,5.43036,3,124,211,0.10483870967741936
64,26,sys6-v0_111,10,85,27,4.2702,7.31353,3,94,215,0.09574468085106383
65,152,4_49_16,10,134,36,3.53392,3.00146,3,156,217,0.14102564102564102
66,76,4gt12-v1_89,10,136,30,1.86253,2.4879,3,151,228,0.09933774834437085
67,9,rd73_140,10,107,35,1.95828,1.78519,3,121,230,0.11570247933884298
68,150,4gt4-v0_79,10,141,37,1.39484,2.29484,3,149,231,0.053691275167785234
69,44,hwb4_49,10,154,52,0.167133,0.567974,3,178,233,0.1348314606741573
70,48,4gt4-v0_78,10,145,41,5.54038,1.20308,3,151,235,0.039735099337748346
71,12,mod10_171,10,150,40,3.44405,4.8067,3,171,244,0.12280701754385964
72,36,4gt12-v0_87,10,140,39,2.70762,1.68736,3,147,247,0.047619047619047616
73,130,4gt12-v0_86,10,147,49,1.54387,2.54198,3,152,251,0.03289473684210526
74,29,4gt4-v0_72,10,143,26,6.7324,5.06798,3,152,258,0.05921052631578947
75,10,sym6_316,10,147,48,1.93582,1.26591,3,162,270,0.09259259259259259
76,121,4gt4-v1_74,10,169,52,11.6033,1.14082,3,186,273,0.0913978494623656
77,86,rd53_311,10,138,47,10.6694,0.501534,3,151,275,0.08609271523178808
78,59,mini-alu_167,10,181,56,5.16657,0.902513,3,209,288,0.1339712918660287
79,115,one-two-three-v0_97,10,177,47,5.54622,3.10981,3,211,290,0.16113744075829384
80,42,rd53_135,10,170,44,2.04878,0.814078,3,199,296,0.1457286432160804
81,132,ham7_104,10,201,69,3.23781,0.44396,3,210,320,0.04285714285714286
82,139,sym9_146,10,154,60,6.17402,8.75421,3,182,328,0.15384615384615385
83,16,decod24-enable_126,10,206,62,3.95015,0.985031,3,221,338,0.06787330316742081
84,96,mod8-10_178,10,210,54,0.0874676,0.486091,3,221,342,0.049773755656108594
85,83,rd84_142,10,126,59,2.34967,6.60399,3,160,343,0.2125
86,23,4gt4-v0_73,10,251,75,1.67826,9.01854,3,274,395,0.08394160583941605
87,32,ex3_229,10,243,40,1.14479,3.43805,3,267,403,0.0898876404494382
88,58,mod8-10_177,10,277,56,2.74371,1.75784,3,304,440,0.08881578947368421
89,112,alu-v2_31,10,296,99,0.637162,1.7041,3,320,451,0.075
90,64,C17_204,10,281,93,3.46893,3.92739,3,289,467,0.02768166089965398
91,80,rd53_131,10,287,70,1.74453,1.74136,3,312,469,0.08012820512820513
92,99,ising_model_10,10,71,10,0.409474,0.126128,3,92,480,0.22826086956521738
93,87,cnt3-5_180,10,237,100,2.99172,0.907399,3,288,485,0.17708333333333334
94,154,alu-v2_30,10,313,72,2.04729,1.12487,3,355,504,0.11830985915492957
95,31,qft_16,10,153,125,1.0826,0.359162,3,216,512,0.2916666666666667
96,51,mod5adder_127,10,327,44,4.43994,1.57783,3,372,555,0.12096774193548387
97,67,rd53_133,10,366,101,2.42304,0.536925,3,395,580,0.07341772151898734
98,82,majority_239,10,387,88,1.13383,0.602001,3,425,612,0.08941176470588236
99,41,ex2_227,10,397,99,0.322287,0.685678,3,441,631,0.09977324263038549
100,73,ising_model_13,10,74,10,2.33174,0.508915,3,92,633,0.1956521739130435
101,4,cm82a_208,10,376,70,0.749951,0.770171,3,408,650,0.0784313725490196
102,17,sf_276,10,473,81,7.98365,4.92292,3,490,778,0.03469387755102041
103,128,sf_274,10,447,27,0.79628,8.82893,3,467,781,0.042826552462526764
104,119,ising_model_16,10,77,14,1.3331,1.8869,3,104,786,0.25961538461538464
105,27,con1_216,10,583,218,2.67931,1.57081,3,602,954,0.03156146179401993
106,22,wim_266,10,579,139,8.54456,0.209613,3,646,986,0.10371517027863777
107,125,rd53_130,10,644,218,1.46361,4.8283,3,747,1043,0.13788487282463185
108,156,f2_232,10,749,226,4.67166,2.52858,3,850,1206,0.1188235294117647
109,55,cm152a_212,10,755,186,14.9659,1.19594,3,827,1221,0.08706166868198308
110,63,rd53_251,10,824,274,1.1747,0.361895,3,910,1291,0.0945054945054945
111,116,hwb5_53,10,884,268,0.604645,0.0100985,3,974,1336,0.09240246406570841
112,1,cm42a_207,10,1040,241,2.71429,4.22917,3,1161,1776,0.10422049956933678
113,34,pm1_249,10,1041,237,0.939852,4.27815,3,1153,1776,0.0971379011274935
114,98,dc1_220,10,1156,260,2.28291,4.41423,3,1235,1914,0.06396761133603239
115,127,squar5_261,10,1182,353,3.88774,4.90041,3,1255,1993,0.05816733067729084
116,70,sqrt8_260,10,1866,567,5.67156,1.50614,3,2103,3009,0.11269614835948645
117,133,z4_268,10,1883,617,4.59324,2.36217,3,2019,3073,0.06736007924715205
118,28,radd_250,10,2070,731,5.38869,1.07597,3,2223,3213,0.06882591093117409
119,53,adr4_197,10,2129,708,1.45825,6.39577,3,2276,3439,0.06458699472759227
120,52,sym6_145,10,2562,810,4.56,5.43866,3,2734,3888,0.06291148500365765
121,25,misex1_241,10,3013,888,4.28349,4.39273,3,3202,4813,0.05902560899437851
122,18,rd73_252,10,3245,955,4.57128,6.39913,3,3756,5321,0.13604898828541
123,30,cycle10_2_110,10,3867,1278,2.04208,2.49821,3,4312,6050,0.10320037105751391
124,61,hwb6_56,10,4410,1577,3.81523,1.44531,3,4883,6723,0.09686668031947573
125,91,square_root_7,10,4536,1588,3.5158,2.57476,3,4631,7630,0.020513927877348306
126,151,ham15_107,10,5467,1634,2.29584,8.21991,3,6099,8763,0.10362354484341696
127,113,dc2_222,10,6013,2010,5.33889,1.31408,3,6581,9462,0.08630907156967026
128,21,sqn_258,10,6243,1905,2.83675,1.34551,3,7066,10223,0.11647325219360317
129,19,inc_237,10,6769,2159,3.31978,14.8347,3,7085,10619,0.044601270289343686
130,69,cm85a_209,10,7343,2464,5.55539,5.57165,3,8048,11414,0.08759940357852883
131,146,rd84_253,10,8466,2868,3.84706,9.54528,3,9773,13658,0.1337358027217845
132,103,root_255,10,10416,3826,3.1798,1.1341,3,11659,17159,0.10661291705978214
133,143,co14_215,10,10416,4584,1.32351,2.66798,3,11652,17936,0.10607621009268794
134,153,mlp4_245,10,12137,4232,2.28259,4.79042,3,13322,18852,0.08895060801681429
135,81,urf2_277,10,13704,5388,3.17138,3.00923,3,15439,20112,0.11237774467258242
136,65,sym9_148,10,13608,3571,2.03541,3.70555,3,14591,21504,0.06737029675827565
137,0,life_238,10,14469,4667,3.31992,12.2231,3,16528,22445,0.12457647628267184
138,45,hwb7_59,10,15987,5742,4.16181,6.47455,3,17459,24379,0.08431181625522653
139,123,max46_240,10,16611,5449,2.41753,4.6471,3,19083,27126,0.12953938060053452
140,24,clip_206,10,21206,7961,1.92693,5.2462,3,23864,33827,0.11138115990613476
141,37,sym9_193,10,22405,7723,4.71377,3.73931,3,25528,34881,0.12233625822626136
142,62,9symml_195,10,22331,7691,4.73398,3.56147,3,25571,34881,0.12670603417934378
143,106,dist_223,10,23304,8250,4.82971,0.428479,3,27013,38046,0.137304260911413
144,78,sao2_257,10,23065,8575,3.26898,3.76749,3,25610,38577,0.09937524404529481
145,155,urf5_280,10,33853,13335,3.26429,2.80653,3,37919,49829,0.10722856615417073
146,66,urf1_278,10,37735,15085,6.21282,0.819555,3,41564,54766,0.09212299104994708
147,120,sym10_262,10,41604,14746,6.06473,3.33097,3,47812,64283,0.129841880699406
148,105,hwb8_113,10,46577,17320,7.70176,2.68498,3,51560,69380,0.09664468580294802
149,49,urf2_152,10,52344,17006,1.84069,4.27429,3,58583,80480,0.1064984722530427
150,88,urf3_279,10,81090,25732,2.34374,3.08649,3,97081,125362,0.1647181219806141
151,101,plus63mod4096_163,10,85533,29906,1.17469,2.78565,3,98282,128744,0.1297185649457683
152,109,urf5_158,10,106985,36359,2.63572,4.26665,3,120348,164416,0.11103632798218499
153,114,urf6_160,10,109875,34357,5.72449,0.272604,3,127748,171840,0.13990825688073394
154,142,urf1_149,10,119499,40697,2.56993,3.25052,3,134300,184864,0.1102084884586746
155,75,plus63mod8192_164,10,125032,43417,1.39984,3.10147,3,141540,187112,0.11663134096368517
156,3,hwb9_119,10,134389,43166,2.19593,4.21653,3,155114,207775,0.1336114083835115
157,95,ground_state_estimation_10,10,247405,10763,2.96711,3.88864,3,250258,390180,0.011400234957523835
158,54,urf3_155,10,262307,76568,3.82437,3.89012,3,312638,423488,0.16098810765166102
159,157,urf4_187,10,317466,105593,1.94155,0.336961,3,346138,512064,0.08283401417931577
